"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-03-14 09:37:57,新北市,中和區,BORYUAN LIN,加油
No.2,2017-03-14 10:27:44,宜蘭縣,五結鄉,wei hong Hong,
No.3,2017-03-15 09:08:45,臺中市,沙鹿區,MLLee,
No.4,2017-03-15 17:53:13,高雄市,新興區,方博鉦,
No.5,2017-03-17 21:15:00,臺中市,南區,Kuan,
No.6,2017-03-18 12:58:31,桃園市,桃園區,孫于翔,
No.7,2017-03-18 23:27:14,新北市,汐止區,"宏 ",
No.8,2017-03-19 20:59:33,桃園市,大溪區,LIAO,
No.9,2017-03-22 09:17:35,臺南市,南區,ikbbsj,
No.10,2017-03-22 16:44:45,新北市,汐止區,台灣萬歲,宗教不是汙染空氣的藉口，維護自然人人有則，即使是您所祭拜的神也一樣。
No.11,2017-03-22 21:48:08,臺中市,西屯區,詔,目前台灣還是有許多大眾對於空氣污染等問題意識仍不足 希望政府能多做一些宣導
No.12,2017-03-24 21:45:16,臺北市,中正區,崔,
No.13,2017-03-26 01:29:53,新北市,板橋區,Karidasp,
No.14,2017-03-26 13:48:07,高雄市,鼓山區,貓貓機,
No.15,2017-03-26 15:02:00,臺北市,中山區,ZC,的確是一個管理規範的角度
No.16,2017-03-26 19:55:20,高雄市,楠梓區,Ian,
No.17,2017-03-26 23:08:23,新竹縣,寶山鄉,TghostT,
No.18,2017-03-27 11:18:46,臺中市,北屯區,阿良,
No.19,2017-03-28 14:30:46,臺中市,西區,YOGA,呼吸乾淨的空氣是人基本的需求。可以有其他方式取代傳統的焚燒儀式。重在心意，不在哪種儀式。
No.20,2017-04-01 22:05:53,臺中市,南區,kuan,
No.21,2017-04-02 16:33:20,臺中市,南屯區,WhyQQ,
No.22,2017-04-02 18:22:14,臺南市,永康區,Xin,
No.23,2017-04-04 14:42:19,臺北市,大安區,康至青,
No.24,2017-04-05 18:05:56,桃園市,蘆竹區,嘿祐,
No.25,2017-04-06 21:43:38,新北市,五股區,Roger,
No.26,2017-04-09 15:57:26,新北市,汐止區,John,支持
No.27,2017-04-13 09:08:02,屏東縣,屏東市,Mark,
No.28,2017-04-19 12:54:18,新北市,新莊區,VIVIAN,"支持本提議想法,最好是永遠不準燒香燒金"
No.29,2017-04-22 08:58:25,彰化縣,和美鎮,蒔,
No.30,2017-04-23 14:18:50,新北市,汐止區,An,支持課稅
No.31,2017-04-23 18:51:13,高雄市,左營區,Second-Tone,
No.32,2017-04-23 20:27:45,新北市,烏來區,Seaweed,不該因為比較神聖就放棄環保
No.33,2017-04-25 18:01:02,新北市,八里區,Hefgh,
No.34,2017-04-25 21:31:14,臺中市,后里區,Tom,
No.35,2017-04-28 03:15:56,臺北市,文山區,zt,
No.36,2017-04-29 21:33:52,高雄市,三民區," 不知道",
No.37,2017-05-02 12:27:26,新北市,永和區,COMEE,
No.38,2017-05-03 11:51:26,臺北市,中正區,Li-Ming Chen,
No.39,2017-05-06 22:46:13,高雄市,三民區,葉,
