"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-08 22:04:35,桃園市,中壢區,"阿信Kenji ",
No.2,2017-12-09 09:40:47,嘉義縣,阿里山鄉,陸番,
No.3,2017-12-09 15:31:26,新北市,三峽區,akina,
No.4,2017-12-09 20:53:37,臺北市,北投區,LIN ROBERT,
No.5,2017-12-11 09:09:44,新北市,永和區,D.C.,
No.6,2017-12-13 21:11:56,桃園市,八德區,Jason,
No.7,2017-12-13 21:28:25,臺中市,南屯區,monis0807,
No.8,2017-12-16 15:03:58,宜蘭縣,礁溪鄉,loveher,
No.9,2017-12-18 21:43:17,高雄市,小港區,台灣人民,可以比歐盟嚴謹，不可比歐盟寬鬆
No.10,2017-12-20 20:06:06,新北市,鶯歌區,愛國者,"食品安全是國人應關注的一部份,不可忽視"
No.11,2017-12-21 17:05:35,嘉義市,東區,eshihao,
No.12,2017-12-21 18:22:01,臺南市,北區,Fater,
No.13,2017-12-23 12:23:56,新竹市,北區,率,支持
No.14,2018-01-01 23:35:27,雲林縣,斗南鎮,福爾摩斯,台灣共和國 不需要農藥這種東西
No.15,2018-01-03 15:47:39,新竹市,東區,俊哥,
No.16,2018-01-05 06:21:18,臺中市,南區,"Lacoyi ",
No.17,2018-01-06 23:08:59,新北市,淡水區,vinaya,
No.18,2018-01-07 15:28:24,高雄市,湖內區,影皮,
No.19,2018-01-14 17:55:08,高雄市,旗山區,豪,或許你是對的

