"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-29 10:16:36,彰化縣,彰化市,黃核統,
No.2,2017-11-29 14:00:28,臺中市,太平區,Ken,
No.3,2017-11-29 14:59:13,臺北市,文山區,小貝江,
No.4,2017-11-29 15:28:13,桃園市,龍潭區,C8,
No.5,2017-11-29 15:30:03,桃園市,蘆竹區,HH,支持，應該捍衛與扶植培育台灣的航空人才
No.6,2017-11-29 15:32:33,臺北市,松山區,Johnny Kay,同時提倡國人就業及國內航空培訓發展是一個對台灣好的長遠發展!
No.7,2017-11-29 15:34:55,新北市,樹林區,wen,
No.8,2017-11-29 15:49:36,新北市,板橋區,Bob,
No.9,2017-11-29 15:50:27,桃園市,蘆竹區,Jonathan,"是時候修改畸形法令了 綜觀日本 美國等國家都會盡力保證本國飛行員的工作權
但現行之過時民航法令卻允許過量之外籍飛行員來排擠本國飛行員之工作權
各航空公司也因著這個規定 在沒有短期內大量飛行員缺額時仍然聘僱大量外籍飛行員
便宜了公司 也忽略了身為一個本土企業該有的培育本國人才的社會責任"
No.10,2017-11-29 16:08:51,新北市,三峽區,mee,
No.11,2017-11-29 16:14:09,臺中市,北屯區,小諾,請給本國籍飛行員多些工作上的保障。
No.12,2017-11-29 16:23:51,臺南市,永康區,林庭儀,
No.13,2017-11-29 16:31:58,新竹縣,寶山鄉,爭取合理工作權,
No.14,2017-11-29 16:51:28,澎湖縣,望安鄉,凱,
No.15,2017-11-29 16:56:10,新北市,中和區,Joe Shiue,支持此提案，以合理比例保留就業機會以供本國籍人才於國內發展。
No.16,2017-11-29 17:06:07,臺北市,文山區,Rex,
No.17,2017-11-29 17:13:34,新北市,林口區,pj1023,
No.18,2017-11-29 17:32:13,基隆市,暖暖區,野獸,
No.19,2017-11-29 17:59:10,臺北市,文山區,小偉,
No.20,2017-11-29 18:46:08,臺北市,文山區,Jason,請增加本土飛行員錄取的機會
No.21,2017-11-29 18:55:56,臺中市,西屯區,慕晨,
No.22,2017-11-29 18:58:59,嘉義市,東區,"Lawrence ",厚植國力
No.23,2017-11-29 19:02:27,臺北市,文山區,Leo,保障本國飛行員就業機會
No.24,2017-11-29 19:09:04,桃園市,蘆竹區,Butters,
No.25,2017-11-29 19:14:30,桃園市,中壢區,雨煙客,支持政府鼓勵航空公司培育本國自訓飛行員
No.26,2017-11-29 19:22:29,新北市,中和區,Mark,支持
No.27,2017-11-29 19:27:06,新北市,中和區,姆斯,"多招募本國籍飛行員，以解決台灣過多流浪機師問題
增加本土航校畢業學生就業機會
國籍航空公司亦可將培訓機師送至台灣本土航校，支持台灣本土產業!"
No.28,2017-11-29 19:37:26,桃園市,中壢區,Tinho,
No.29,2017-11-29 19:38:55,臺北市,松山區,約瑟王,
No.30,2017-11-29 19:40:50,新北市,汐止區,hau,
No.31,2017-11-29 19:53:19,臺中市,西屯區,Ivan,
No.32,2017-11-29 20:00:35,臺北市,大安區,Richard Wang,支持台灣在地訓練 厚植台灣航空實力 台灣不輸人 給熱愛飛行的年輕人一個機會
No.33,2017-11-29 20:02:37,新北市,新莊區,Will,同意
No.34,2017-11-29 20:04:04,桃園市,中壢區,John,
No.35,2017-11-29 20:14:00,臺北市,文山區,Tolip,
No.36,2017-11-29 20:16:48,新竹市,北區,Nick兒,本國航空應以本國人為主
No.37,2017-11-29 20:19:14,基隆市,中山區,小黃,
No.38,2017-11-29 20:19:34,臺中市,北屯區,Alexander,支持保障國籍飛行員的工作權
No.39,2017-11-29 20:19:43,新北市,永和區,小S,
No.40,2017-11-29 20:22:16,桃園市,八德區,QQ,
No.41,2017-11-29 20:23:38,臺北市,松山區,Wang,
No.42,2017-11-29 20:23:51,臺中市,南屯區,Nelson,培育更多台灣有興趣、有熱忱的人，將會發展更多就業機會。
No.43,2017-11-29 20:30:02,新北市,三重區,Ian,同意
No.44,2017-11-29 20:47:35,彰化縣,花壇鄉,阿Ken,支持本國飛行員就業環境改善. 增加本國自訓CPL飛行員就業機會
No.45,2017-11-29 20:47:48,臺北市,文山區,Doughnut,月亮在哪看都一樣圓，懇請支持在本國賞月。
No.46,2017-11-29 20:48:55,新北市,永和區,蟹寶,
No.47,2017-11-29 20:49:09,新北市,新店區,Iverson,
No.48,2017-11-29 20:54:56,臺北市,大同區,Carlos,
No.49,2017-11-29 20:58:50,新北市,蘆洲區,60,
No.50,2017-11-29 20:59:12,臺北市,士林區,Akira C.,
No.51,2017-11-29 21:03:13,臺北市,松山區,Jacky lai,
No.52,2017-11-29 21:12:26,新竹市,北區,ianpai,
No.53,2017-11-29 21:25:41,臺中市,南屯區,阿彬,
No.54,2017-11-29 21:30:01,桃園市,中壢區,黃俊穎,
No.55,2017-11-29 21:34:07,屏東縣,屏東市,林,
No.56,2017-11-29 21:39:09,臺北市,文山區,Diamond,贊成，越快修法越好
No.57,2017-11-29 21:43:07,臺中市,西屯區,Patrick,
No.58,2017-11-29 21:46:40,苗栗縣,頭份市,小旋風,支持國籍機師培訓
No.59,2017-11-29 21:47:06,新北市,中和區,哈哈,
No.60,2017-11-29 21:53:30,桃園市,蘆竹區,Sheena,希望台灣政府能更重視台籍勞工的權益，而不是遊走法律邊緣，雇用大量外籍，等台籍的人才出走才在說爛草莓之類的話，如果能留在家鄉誰不想。
No.61,2017-11-29 22:09:48,臺中市,大甲區,香菇,
No.62,2017-11-29 22:18:19,新北市,新店區,SKY HSU,
No.63,2017-11-29 22:22:53,臺北市,文山區,Mr.Lu,支持修法 創造青年更多的就業機會
No.64,2017-11-29 22:23:04,新北市,土城區,R肯尼,國外各國家針對外國籍的限制與本國籍的優勢，台灣也必須要有相同的機制來保障本國籍機師就業問題
No.65,2017-11-29 22:51:09,臺北市,松山區,京,外國機師排擠本國機師名額，且本國航空公司缺額本來就不多，在這情況下許多年輕飛行員不但無法累積經驗，甚至成為流浪機師，應立即改善。
No.66,2017-11-29 23:03:26,桃園市,桃園區,Best0001,
No.67,2017-11-29 23:10:01,臺北市,松山區,HC91430,
