"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-05 09:10:41,花蓮縣,富里鄉,帥哥,每個人都有自己的強項 或許在某些科目上表現不足 但自己強項因為某部分學科無法受到認可 導致無法畢業 會照成在將來不管是就業上或是學歷上都是遺憾 因此雖然學科上是缺憾 但自己的強項也是可以闖出一片天
No.2,2017-09-05 10:07:57,花蓮縣,花蓮市,張,爽。
No.3,2017-09-05 10:08:45,花蓮縣,新城鄉,BingXiang,取消部定必修，每個人專長不同  不能強迫學生做不想做的事 有些人數理強有些人文科強
No.4,2017-09-05 11:07:17,花蓮縣,玉里鎮,波波帥,很棒 造福大家
No.5,2017-09-05 12:29:22,花蓮縣,吉安鄉,棒棒,說得太好了
No.6,2017-09-05 22:58:58,宜蘭縣,羅東鎮,yo,
No.7,2017-09-06 20:16:13,新北市,三重區,W,讚！！
No.8,2017-09-06 21:04:01,高雄市,岡山區,劉宇,
No.9,2017-09-06 21:35:50,臺北市,內湖區,Mcadoo,
No.10,2017-09-07 11:08:35,彰化縣,和美鎮,蒔,
No.11,2017-09-10 12:44:46,新北市,中和區,yuanzero,
No.12,2017-09-10 14:28:09,新竹市,北區,新竹人,
No.13,2017-09-10 15:56:37,彰化縣,彰化市,ED,
No.14,2017-10-02 18:06:24,臺北市,大安區,Jixan Liu,
