"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-13 00:12:29,新北市,新店區,Yu,
No.2,2017-04-13 00:16:26,新北市,三重區,Angus,支持多贏政策
No.3,2017-04-13 00:28:05,新北市,淡水區,Abu,
No.4,2017-04-13 01:32:55,臺北市,北投區,"Elaine kuo ",這是個好點子
No.5,2017-04-13 05:26:30,臺南市,仁德區,Hsing,"1.可以達到政府、企業及民眾三贏
2.大幅提升電子發票的推動
3.實踐開立無實體發票的宗旨"
No.6,2017-04-13 05:53:28,新北市,三重區,goodeat,
No.7,2017-04-13 07:45:20,新北市,新店區,WJ,
No.8,2017-04-13 07:45:21,新北市,新店區,sonys,
No.9,2017-04-13 07:47:31,臺北市,中山區,weihuo,Good idea!
No.10,2017-04-13 08:04:04,新北市,三芝區,仲興,
No.11,2017-04-13 08:10:52,臺北市,北投區,Weichia,提案人的專業創意想法，實現公平正義，若提案通過，值得表揚嘉許
No.12,2017-04-13 08:25:01,新北市,淡水區,leohuang,讚!!
No.13,2017-04-13 08:41:02,臺北市,文山區,Batto,
No.14,2017-04-13 08:52:06,桃園市,桃園區,zoe,希望這個提案真能有效促進經濟發展
No.15,2017-04-13 08:59:18,新北市,土城區,Steven Huang,
No.16,2017-04-13 09:07:33,基隆市,中山區,Joseph,維護公平原則
No.17,2017-04-13 09:25:11,桃園市,中壢區,ChrisH,
No.18,2017-04-13 09:40:21,臺北市,中正區,miffy,Good idea
No.19,2017-04-13 10:54:45,臺北市,北投區,Cashier,擴大繳稅來源，是維持稅務公平的善良工程
No.20,2017-04-13 11:40:18,新北市,汐止區,Jason Luo,Agree
No.21,2017-04-13 12:54:04,臺北市,中山區,Anny,Good
No.22,2017-04-13 13:34:13,桃園市,平鎮區,新手上路,
No.23,2017-04-13 14:03:37,桃園市,新屋區,阿彬,
No.24,2017-04-13 15:40:10,新北市,板橋區,DiskLin,
No.25,2017-04-13 21:25:45,新北市,板橋區,judy,
No.26,2017-04-13 22:07:07,臺北市,松山區,Kelly,
No.27,2017-04-14 04:05:15,臺北市,大安區,星宮草莓,
No.28,2017-04-14 09:07:13,臺北市,內湖區,Ben Cheng,增加發票中獎率
No.29,2017-04-15 00:09:48,臺南市,北區,G.winnie,有執行的可能性
No.30,2017-04-15 10:52:31,新北市,新店區,Alice CC,
No.31,2017-04-15 11:45:46,臺北市,文山區,Donna Y,
No.32,2017-04-15 11:47:30,臺北市,大安區,康至青,
No.33,2017-04-16 00:14:57,新北市,汐止區,小冷,
No.34,2017-04-16 23:47:06,新北市,淡水區,幻影神兔,
No.35,2017-04-18 18:33:43,臺北市,文山區,桂哥,
No.36,2017-04-18 18:41:14,臺北市,內湖區,"Goodwill ",
No.37,2017-04-24 22:08:36,臺南市,東山區,路人,
No.38,2017-04-29 11:15:04,南投縣,草屯鎮,德克斯特,
No.39,2017-05-10 10:55:11,雲林縣,莿桐鄉,May,
No.40,2017-05-11 20:46:43,新竹縣,新豐鄉,Mr.S,"政府應組成支付系統團隊,電子金融絕對可以達成以上訴求.  也請支持 (建立公共工程品質&廠商信用追蹤系統),(調整行政區有效整合區域資源),(鬧區馬路興建行人&機車鋼構高架道路),(教育改革應從建立大數據庫&學分制度著手),(建議政府發行特別股與民眾交換公共設施保留地),(四或五線道窄安全島的不良的汽車待轉車道修改為左右彎汽車都須待轉),(蘇花改接國道5),(各級學校,各類補習班教室都須設置防止性侵害標語),(公共政策網路參與平台應該扮演匯集全國民眾意見的橋樑不限行政院事務),(增加政府組織內人員的流動性),(課徵所得稅時的小額退補稅差應列下一期一起併算),(興建家戶地下水庫)"
