"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-29 09:19:14,臺中市,霧峰區,Rachel,
No.2,2017-04-29 09:25:51,臺中市,南屯區,dandy chi,贊成
No.3,2017-04-29 09:32:45,臺中市,南區,kkkcat,
No.4,2017-04-29 09:36:17,臺中市,西屯區,Gary,
No.5,2017-04-29 09:36:20,臺中市,東區,阿同,
No.6,2017-04-29 09:42:59,臺中市,大肚區,Cagelin,
No.7,2017-04-29 09:43:36,臺中市,東區,simple755,
No.8,2017-04-29 09:45:50,臺中市,豐原區,Michael,現今法令上犯罪偵查雖仍以為檢察主體，但實際上是以警察為主。該條例早已不合時宜。
No.9,2017-04-29 09:45:54,臺中市,北區,小愛,
No.10,2017-04-29 09:48:37,臺中市,南屯區,Bin,
No.11,2017-04-29 09:50:11,臺中市,西屯區,Rainie,
No.12,2017-04-29 10:00:27,臺北市,中正區,陳先生,時空環境早已更改，是檢視修改了。
No.13,2017-04-29 10:04:31,臺南市,永康區,seapig,
No.14,2017-04-29 10:04:52,嘉義市,西區,何國禎,早該廢止了，警察是最廉價的勞工，什麼都找警察
No.15,2017-04-29 10:08:54,臺北市,中正區,justin,
No.16,2017-04-29 10:15:20,雲林縣,斗六市,玉仔,
No.17,2017-04-29 10:16:06,高雄市,仁武區,Kuokuowen,
No.18,2017-04-29 10:16:16,臺中市,沙鹿區,國周,廢除《調度司法警察條例》，尊重警察工作之專業，共同營造我國精緻司法的願景
No.19,2017-04-29 10:19:14,臺中市,大里區,光毅,支持廢除調度司法警察條例
No.20,2017-04-29 10:20:30,臺中市,北區,藍天,
No.21,2017-04-29 10:25:32,新北市,新莊區,潘區,
No.22,2017-04-29 10:32:07,新竹市,東區,小麥,
No.23,2017-04-29 10:32:50,高雄市,仁武區,王紘駿,
No.24,2017-04-29 10:34:24,桃園市,楊梅區,Wen Chun,
No.25,2017-04-29 10:34:29,嘉義市,西區,If,
No.26,2017-04-29 10:36:17,臺中市,西區,ㄒㄩ願,
No.27,2017-04-29 10:41:02,南投縣,南投市,小男,讚贊成修法廢止該條例之適用
No.28,2017-04-29 10:43:42,臺中市,北屯區,Wei Hung,
No.29,2017-04-29 10:44:57,高雄市,楠梓區,506,
No.30,2017-04-29 10:45:42,新北市,瑞芳區,康康,
