"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-08 08:42:53,桃園市,新屋區,八百,"可以修訂緊急醫療法增加緊急救護的權力，增訂必要通過區域可無償通行，若遇有阻礙可逕行排除之(非人為阻礙)
若人員故意以人身物品或車輛等故意阻礙緊急醫療則可處...罰鍰等條例"
No.2,2017-12-08 09:31:36,新北市,板橋區,hedy,
No.3,2017-12-08 10:07:31,臺北市,松山區,朱,
No.4,2017-12-08 10:14:30,新北市,泰山區,七堵車站,是時候增加此條例
No.5,2017-12-08 11:00:11,新北市,三重區,TOBIAS.S,
No.6,2017-12-08 11:39:31,桃園市,中壢區,Roadeat,
No.7,2017-12-08 13:47:51,新北市,新莊區,RED,
No.8,2017-12-08 15:04:27,臺北市,文山區,邊緣人,
No.9,2017-12-08 15:34:43,臺北市,文山區,CYJ,
No.10,2017-12-08 15:40:07,臺北市,南港區,Ms.180公分,
No.11,2017-12-08 16:04:26,臺中市,北區,eden,
No.12,2017-12-08 16:27:24,高雄市,大寮區,倫,
No.13,2017-12-08 16:39:13,臺北市,士林區,wayne,
No.14,2017-12-08 18:09:45,新北市,淡水區,Snoopy,
No.15,2017-12-08 18:48:46,新竹市,東區,Jacky,完全贊同
No.16,2017-12-08 19:36:19,臺北市,北投區,培哲,
No.17,2017-12-08 19:58:43,臺北市,文山區,鬼鬼,沒有人生命的搶救或是最後的尊嚴能被剝奪
No.18,2017-12-08 21:18:06,新北市,板橋區,黑火,
No.19,2017-12-08 21:49:11,臺北市,北投區,謙謙,
No.20,2017-12-08 21:50:26,新北市,板橋區,jimmy,為什麼這些迷信的人不知救人要緊 害死人了拜再多神也沒用 支持重罰
No.21,2017-12-08 21:53:58,新北市,板橋區,CHANG,完全贊同 應該要比照阻擋救護車處罰
No.22,2017-12-08 21:56:05,桃園市,中壢區,"阿信Kenji ",
No.23,2017-12-08 22:04:27,臺中市,南區,幽靈,
No.24,2017-12-08 22:26:03,桃園市,龜山區,Eva,
No.25,2017-12-08 22:33:27,臺北市,內湖區,allen510636,
No.26,2017-12-08 22:55:02,基隆市,安樂區,基隆123,
No.27,2017-12-08 23:00:01,臺北市,松山區,佳,
No.28,2017-12-09 00:13:04,臺南市,東區,leeleo,
No.29,2017-12-09 02:14:54,新北市,樹林區,ㄎㄎ,
No.30,2017-12-09 03:33:12,屏東縣,新園鄉,Ya Ching,
No.31,2017-12-09 04:25:47,高雄市,前鎮區,ni,
No.32,2017-12-09 15:46:08,新北市,新莊區,Brian,
No.33,2017-12-09 20:29:53,臺南市,安平區,Audi,無限期支持此項提案。能夠重罰甚至是能將阻擋者另外做分類，往後此人需要救護時無法在第一時間得到應有的照護與醫療救護
No.34,2017-12-09 20:53:49,臺北市,北投區,LIN ROBERT,"無人命是公共危險罪
有人命是過失殺人.."
No.35,2017-12-09 21:02:49,新北市,新店區,小柴,
No.36,2017-12-10 00:19:26,臺北市,大安區,Steven,
No.37,2017-12-10 10:47:30,臺北市,大安區,正義使者,
No.38,2017-12-10 13:15:14,嘉義市,東區,DsayWTF,
No.39,2017-12-10 14:58:09,雲林縣,斗六市,完全認同,
No.40,2017-12-10 15:12:01,臺北市,北投區,"Geh,Diong-Sin",強烈支持，人命比什麼重要，常看到有人救護車已經在不到五十公尺了，還悠閒走路，真的好冷血。
No.41,2017-12-10 15:15:45,新北市,新莊區,Aurora,
No.42,2017-12-10 17:50:11,新北市,板橋區,綺綺,
No.43,2017-12-10 17:55:50,新北市,板橋區,張小姐,
No.44,2017-12-10 19:48:39,新北市,板橋區,阿雄,
No.45,2017-12-10 20:53:32,桃園市,八德區,Great,贊成
No.46,2017-12-10 22:47:02,新北市,板橋區,想,
No.47,2017-12-11 00:49:12,臺北市,士林區,J,
No.48,2017-12-11 01:45:36,高雄市,湖內區,蘇蘇,
No.49,2017-12-11 04:47:18,新北市,中和區,lasoz,
No.50,2017-12-11 08:24:25,桃園市,中壢區,JT Han,
No.51,2017-12-11 09:46:27,新北市,中和區,ps,
No.52,2017-12-11 10:45:36,新北市,三峽區,Jack,
No.53,2017-12-11 11:43:10,新北市,新莊區,大熊,同意
No.54,2017-12-11 14:36:30,彰化縣,社頭鄉,Little,
No.55,2017-12-11 15:57:33,高雄市,小港區,Louishu,
No.56,2017-12-11 17:54:26,桃園市,桃園區,阿智,
No.57,2017-12-11 21:37:50,屏東縣,屏東市,小芬,
No.58,2017-12-11 21:55:46,高雄市,楠梓區,呆,
No.59,2017-12-12 00:40:48,新北市,板橋區,Sofie,
No.60,2017-12-12 08:47:51,臺北市,中山區,米,
No.61,2017-12-12 09:52:40,臺北市,文山區,參,
No.62,2017-12-12 10:27:49,新北市,土城區,阿大,
No.63,2017-12-12 12:09:00,高雄市,鳳山區,aPPLE,
No.64,2017-12-12 15:21:13,高雄市,三民區,強颱,
No.65,2017-12-12 20:38:31,臺南市,關廟區,G John,
No.66,2017-12-12 20:44:44,彰化縣,彰化市,黃核統,
No.67,2017-12-12 21:37:22,嘉義市,東區,臺灣,
No.68,2017-12-13 09:06:17,連江縣,莒光鄉,benny cow,
No.69,2017-12-13 09:13:10,新北市,淡水區,CAT Q,
No.70,2017-12-13 10:40:14,彰化縣,埔鹽鄉,闇烈,
No.71,2017-12-13 11:02:55,臺中市,南區,"Admin ",
No.72,2017-12-13 15:37:54,新北市,新店區,逍遙遊,
No.73,2017-12-13 16:17:45,臺北市,信義區,Smart,
No.74,2017-12-13 18:31:51,彰化縣,伸港鄉,養樂多好苦,應該！我支持
No.75,2017-12-13 21:44:51,新北市,中和區,Sbenetton,贊成
No.76,2017-12-14 09:09:58,高雄市,三民區,Mike Chen,
No.77,2017-12-14 09:18:40,桃園市,八德區,Jason,
No.78,2017-12-14 17:25:58,新北市,中和區,白蘭,
No.79,2017-12-14 23:07:04,臺中市,神岡區,Kisa,
No.80,2017-12-15 01:31:01,高雄市,小港區,Cat,
No.81,2017-12-15 02:13:24,臺北市,文山區,Porsche,
No.82,2017-12-15 10:59:44,嘉義市,東區,台灣島民,本該重罰~此舉為蓄意殺人行為
No.83,2017-12-15 11:19:09,新北市,三重區,蔡明勳,
No.84,2017-12-15 12:58:03,新北市,三重區,Carol,
No.85,2017-12-15 16:16:12,新北市,新店區,Grace,
No.86,2017-12-15 17:58:07,臺南市,永康區,Fish,
No.87,2017-12-15 23:03:33,新北市,中和區,葉小昕,
No.88,2017-12-16 15:01:50,宜蘭縣,礁溪鄉,loveher,
No.89,2017-12-16 16:55:03,基隆市,中山區,呆,
No.90,2017-12-17 00:04:19,臺南市,新化區,阿飄罐頭,
No.91,2017-12-18 16:58:28,臺中市,南區,阿石,
No.92,2017-12-18 21:08:08,臺北市,文山區,Haokang,
No.93,2017-12-19 23:38:16,臺北市,萬華區,陳哲元,
No.94,2017-12-20 00:35:06,臺南市,東區,lo828166,
No.95,2017-12-21 17:06:33,嘉義市,東區,eshihao,
No.96,2017-12-23 09:38:33,新北市,土城區,橘子冰沙,
No.97,2017-12-23 17:20:29,彰化縣,芬園鄉,張小敏,比照妨害公務罪-惡意擋住值勤公務車罪（救護車，警車，消防車）+殺人罪，罰鍰並加重一倍，永久吊銷駕照
No.98,2017-12-26 13:05:09,嘉義市,東區,Sundancekid,
No.99,2017-12-27 10:08:12,臺南市,官田區,Superinbeast,
No.100,2017-12-27 15:30:17,新北市,新莊區,芝,
No.101,2017-12-27 20:41:07,臺北市,南港區,E,
No.102,2017-12-27 23:09:07,新北市,中和區,Hanhan,
No.103,2017-12-31 13:51:22,高雄市,左營區,張,
No.104,2017-12-31 17:20:32,臺中市,北屯區,aaron99035,
No.105,2018-01-06 17:04:16,臺中市,南屯區,蛋黃酥,
No.106,2018-01-06 21:30:23,高雄市,前鎮區,CCH,
No.107,2018-01-07 19:31:18,新北市,三重區,Vagabond,
No.108,2018-01-08 20:46:28,臺東縣,臺東市,大蕉,
No.109,2018-01-11 15:46:13,新竹市,東區,小白,
No.110,2018-01-13 00:28:55,臺中市,潭子區,Hank,
No.111,2018-01-30 20:09:46,彰化縣,二水鄉,夜語花兒,

