"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-20 07:17:43,高雄市,三民區,Wing,
No.2,2017-06-20 10:12:53,彰化縣,彰化市,max,
No.3,2017-06-20 10:29:44,高雄市,前鎮區,水電工,
No.4,2017-06-20 11:25:39,屏東縣,屏東市,西索,
No.5,2017-06-20 13:08:38,彰化縣,和美鎮,青松,安全比便利更優先，行車安全保障的應該是行車人與其他用路人
No.6,2017-06-20 16:08:32,臺中市,南區,張家愷,電動機車速度不比50CC機車還慢，且常常遇到不帶安全帽，轉彎不打方向燈，甚至自恃車型小台而隨易逆向，肇事後逃逸也無法規車牌依據可以找到人，因此併入機車考照當中，實施路考審和執照，具備有交通到路法規常識才上路較為妥當，也保障其他用路人安全。
No.7,2017-06-20 16:16:54,新北市,永和區,歐文,凡駕駛動力交通工具皆須駕照！
No.8,2017-06-20 16:27:09,臺北市,大安區,火球男,
No.9,2017-06-20 18:24:23,彰化縣,鹿港鎮,aeo,贊成!政府應設置配套措施。
No.10,2017-06-20 20:35:17,高雄市,鳳山區,ashin,
No.11,2017-06-20 21:46:53,臺北市,南港區,HER8381014A,
No.12,2017-06-20 22:16:37,南投縣,埔里鎮,奉先,
No.13,2017-06-21 02:25:28,高雄市,大寮區,雨,免牌照電動機車也須考取駕照、戴安全帽、也需要車牌號碼，以方便交通事故肇逃者可以追蹤。
No.14,2017-06-21 13:19:28,新竹市,東區,kentchengit,"只要是動力行駛在馬路上的都需要規範跟管理,包含腳踏車"
