"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-28 09:59:43,新北市,三重區,小宇宙,本來就應該做的事情，為什麼還需要人民來提案？這政府也太混了吧。
No.2,2017-09-28 11:15:31,高雄市,鳳山區,子飛凌,針對遠光燈的問題，真的需要加以規範。不管是對向來車，或是同向車輛，遠光燈都會造成對方的視線受到干擾與阻礙，對於路況完全無法掌握，容易釀成災害！
No.3,2017-09-28 13:17:44,南投縣,埔里鎮,奉先,
No.4,2017-09-28 16:27:40,高雄市,大寮區,王彥力,"科技進步結果法規跟不上,甚至LED亮度超過一般照明,法規須要追上法規"
No.5,2017-09-28 22:18:21,苗栗縣,造橋鄉,"Vicky ",
No.6,2017-09-29 09:19:38,桃園市,桃園區,小V,
No.7,2017-09-29 20:21:56,新北市,新店區,AZu,
No.8,2017-09-29 20:25:57,南投縣,名間鄉,閃亮亮,
No.9,2017-09-29 22:32:22,桃園市,中壢區,Allen,現在很多機車汽車都會開遠光燈，刺眼到爆，甚至一近一遠燈也有
No.10,2017-09-30 15:11:20,新北市,汐止區,Goldie,
No.11,2017-09-30 16:23:46,新北市,新莊區,megshao,
No.12,2017-09-30 21:46:45,花蓮縣,吉安鄉,EL,
No.13,2017-10-02 09:43:39,高雄市,前鎮區,加鹽咖啡,加強遠光燈使用教育，嚴格規範氙氣及LED大燈安裝及瓦數。
No.14,2017-10-02 09:54:00,桃園市,八德區,阿正,
No.15,2017-10-04 02:12:37,新北市,板橋區,Karidasp,
No.16,2017-10-04 09:50:12,彰化縣,田尾鄉,ryan,
No.17,2017-10-04 23:12:50,高雄市,岡山區,TK,
No.18,2017-10-06 00:32:33,桃園市,桃園區,CL,
No.19,2017-10-07 23:51:08,新北市,中和區,羽鳥,
No.20,2017-10-11 23:33:02,雲林縣,莿桐鄉,xcv,
No.21,2017-10-18 21:25:21,嘉義市,東區,Sundancekid,
No.22,2017-10-19 00:07:34,臺北市,大安區,偉人青,
No.23,2017-10-19 22:54:55,臺中市,龍井區,籃網打季後賽,不只遠燈，還有頭燈改很亮的那種．超白目，後照鏡都是光，很危險．罰到脫褲子，扣駕照！
No.24,2017-10-20 03:57:11,新北市,新店區,gundonvv,支持
