"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-01 09:35:07,臺北市,北投區,child,政府提供好的環境，才有好的未來
No.2,2017-06-01 12:22:44,雲林縣,西螺鎮,Taylor,
No.3,2017-06-01 12:24:51,高雄市,苓雅區,shou,
No.4,2017-06-01 16:39:11,新北市,新店區,前木,
No.5,2017-06-01 22:03:50,新北市,三重區,黃小偉,我需要
No.6,2017-06-01 22:45:07,臺中市,太平區,Tiya,
No.7,2017-06-01 23:28:53,嘉義市,西區,wei hong hong,
No.8,2017-06-02 23:22:33,臺北市,內湖區,Amelie,
No.9,2017-06-03 12:27:04,新北市,新莊區,阿是乾你,無
No.10,2017-06-04 01:41:42,高雄市,前鎮區,唉薇,
No.11,2017-06-04 01:49:22,新北市,板橋區,Eve,
No.12,2017-06-04 02:13:41,高雄市,三民區,Nicesky,
No.13,2017-06-04 02:14:38,高雄市,楠梓區,辣椒,希望能有更多的支援來孕育我們的下一代
No.14,2017-06-04 08:12:46,高雄市,三民區,小矮,
No.15,2017-06-04 11:14:58,高雄市,大社區,葉,
No.16,2017-06-04 13:42:57,臺中市,太平區,阿廷,我覺得這想法很酷，應該能夠拯救台灣目前少子化的危機。
