"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-10-24 00:06:19,臺北市,信義區,Jerome,贊成 民兵制應該搭配槍枝開放議題 能有效管理民間槍枝及強化台灣防禦實力
No.2,2017-10-24 00:11:43,臺北市,中山區,企鵝,
No.3,2017-10-24 00:17:08,臺北市,中山區,abreu,
No.4,2017-10-24 00:29:09,嘉義市,西區,qq,支持全民皆兵   但是槍還是不要隨人發配   不然人口會急速遞減
No.5,2017-10-24 00:31:22,臺南市,善化區,啾啾,自己的國家自己救
No.6,2017-10-24 00:40:42,臺北市,文山區,Warren,
No.7,2017-10-24 00:42:33,基隆市,中正區,Lincuz,
No.8,2017-10-24 00:45:02,新北市,蘆洲區,克羅兄,
No.9,2017-10-24 00:46:39,新北市,汐止區,蠟筆不小心,本該如此
No.10,2017-10-24 01:48:31,宜蘭縣,宜蘭市,小佑,
No.11,2017-10-24 01:59:05,臺中市,中區,Homura Akemi,
No.12,2017-10-24 02:25:01,新北市,板橋區,台灣人,更能有效嚇阻中國併吞台灣的野心
No.13,2017-10-24 02:31:03,臺中市,西區,kc,
No.14,2017-10-24 04:00:12,桃園市,龜山區,Godel,
No.15,2017-10-24 05:02:34,屏東縣,南州鄉,陳德祥,
No.16,2017-10-24 05:54:47,新北市,板橋區,monkeytiger,
No.17,2017-10-24 06:02:54,桃園市,中壢區,奶油,
No.18,2017-10-24 06:25:27,臺中市,北屯區,Fia,
No.19,2017-10-24 06:30:34,臺南市,西港區,QQ霖,支持
No.20,2017-10-24 07:55:03,彰化縣,鹿港鎮,QQptt,
No.21,2017-10-24 07:58:58,彰化縣,永靖鄉,維,
No.22,2017-10-24 07:59:02,臺北市,中正區,張凱斯,自己的國家自己救
No.23,2017-10-24 08:11:52,高雄市,燕巢區,澄,
No.24,2017-10-24 08:15:44,臺中市,太平區,魯魯米,讓保家衛國的決心更深入到所有國民心中
No.25,2017-10-24 08:48:41,臺中市,西屯區,Mark,
No.26,2017-10-24 09:17:22,臺中市,潭子區,陳思帆,全民國防 開放槍枝
No.27,2017-10-24 09:33:25,臺北市,中正區,台灣必勝、建國必成,唯有武裝才能自保
No.28,2017-10-24 10:03:45,新竹縣,竹北市,金勾錐,
No.29,2017-10-24 10:28:31,高雄市,鳳山區,Sua-gōo-lông,
No.30,2017-10-24 10:51:51,臺中市,梧棲區,franchintw,
No.31,2017-10-24 12:11:46,臺中市,南區,孫,
No.32,2017-10-24 12:36:46,新北市,土城區,papala,"不支持發放槍枝
但募兵制窒礙難行因此支持"
No.33,2017-10-24 14:28:14,高雄市,左營區,薇瑾,
No.34,2017-10-24 15:42:54,新北市,樹林區,PS,
No.35,2017-10-24 15:43:30,彰化縣,彰化市,Wu,
No.36,2017-10-24 15:45:21,臺北市,松山區,特沃伊,
No.37,2017-10-24 16:02:57,臺北市,中山區,蔡瑞宇,
No.38,2017-10-24 16:10:21,臺北市,松山區,郭粵,應該落實男女平權的世界公民觀 效仿以色列和瑞士
No.39,2017-10-24 16:27:28,新竹市,東區,雨夜寒冰,
No.40,2017-10-24 16:38:28,新竹市,東區,C.J.,
No.41,2017-10-24 16:44:15,臺中市,西區,Qoo,
No.42,2017-10-24 17:12:32,高雄市,鳳山區,Bill,
No.43,2017-10-24 17:45:05,高雄市,路竹區,丫禪,
No.44,2017-10-24 18:03:30,臺南市,東區,老詹,
No.45,2017-10-24 18:04:58,新北市,新莊區,維維,台灣必須成為一個中立國，免除夾雜於中美勢力間，取得國家利益最大化，其唯一辦法只有全民皆兵!!
No.46,2017-10-24 18:26:50,金門縣,金寧鄉,虞璿,
No.47,2017-10-24 18:59:35,桃園市,桃園區,yang,
No.48,2017-10-24 19:29:16,新北市,深坑區,臺灣轉型正義,
No.49,2017-10-24 20:23:26,臺北市,信義區,葵花籽,
No.50,2017-10-24 21:04:15,嘉義縣,大林鎮,Ted,
No.51,2017-10-24 21:13:21,臺北市,文山區,Harrybull,
No.52,2017-10-24 21:45:29,屏東縣,萬巒鄉,魯國國相,
No.53,2017-10-24 22:05:38,臺南市,永康區,蟹老闆,
No.54,2017-10-24 22:07:33,桃園市,大園區,毘沙門天,
No.55,2017-10-24 22:20:48,臺北市,大同區,傻瓜,
No.56,2017-10-24 22:47:23,新北市,淡水區,zz,
No.57,2017-10-24 23:05:12,新北市,板橋區,A-tek,
No.58,2017-10-24 23:08:07,高雄市,岡山區,James Pard,
No.59,2017-10-24 23:32:43,高雄市,鳳山區,發飄的雲,
No.60,2017-10-25 00:10:08,臺北市,中山區,克魯斯特,
No.61,2017-10-25 00:19:00,新北市,中和區,蓮眼,面對中共威脅，依兩國人口比例，實行全民皆兵是必要的防衛措施
No.62,2017-10-25 01:00:32,臺中市,北屯區,Kim,
No.63,2017-10-25 01:31:56,花蓮縣,花蓮市,Cheng,
No.64,2017-10-25 02:09:47,臺北市,文山區,"gzaiy ",
No.65,2017-10-25 02:27:06,桃園市,平鎮區,小狗,
No.66,2017-10-25 04:21:12,基隆市,中正區,In,保家衛國人人有責
No.67,2017-10-25 06:37:36,臺北市,文山區,Tiger,
No.68,2017-10-25 08:03:31,高雄市,三民區,Kanchou,支持全民皆兵，立即結束花費耗繁事倍功半的募兵制度，停止放任新聞媒體攻訐軍人的行徑，恢復武人榮譽。
No.69,2017-10-25 10:00:06,臺北市,松山區,JCB88,
No.70,2017-10-25 10:30:52,新北市,淡水區,上班族肥太郎,
No.71,2017-10-25 10:45:18,臺北市,內湖區,馬沙,
No.72,2017-10-25 10:56:38,臺北市,南港區,西颯,
No.73,2017-10-25 12:10:41,高雄市,前鎮區,加菲.柴契爾,"本人非常支持效仿瑞士全民皆兵，
但也希望能落實性別真平等，男女國民皆有服役義務，
當國家發生遭遇危難時，將有更齊全的保衛與作戰能力
除保衛疆土外，更能落實性別平權，此乃一舉兩得。

但基於我國的文化與治安等因素，是建議讓各個地方轄區設有保管武器的機關，
若個別將槍枝帶回家中可能會衍生更多問題。

以下開放女權主義者(仇男主義)崩潰。"
No.74,2017-10-25 12:39:48,臺中市,沙鹿區,MLLee,
No.75,2017-10-25 12:49:16,新北市,中和區,王處恆,
No.76,2017-10-25 12:54:04,臺北市,大同區,李柏毅,
No.77,2017-10-25 13:40:34,高雄市,橋頭區,阿洪之聲,
No.78,2017-10-25 13:53:34,新竹縣,竹北市,Chloe Chao,
No.79,2017-10-25 13:56:07,新北市,淡水區,Rot326,退將投敵，國防部玩死台灣人沒有公佈真相，只會玩高價武器當玩具，對滲台共軍組織毫無做為更表示台灣人更應該站出來全民皆兵防衛台灣
No.80,2017-10-25 16:36:31,新北市,蘆洲區,阿嘉,國家兵員不足，缺乏國家認同感，全民皆兵可解決兵源問題，即將民兵制度納入生活之中，並無不可
No.81,2017-10-25 16:54:30,臺東縣,達仁鄉,黑jacky,支持
No.82,2017-10-25 16:56:09,新北市,新店區,gerry,
No.83,2017-10-25 17:07:50,新北市,三重區,宇,
No.84,2017-10-25 17:10:25,新北市,新莊區,mint,
No.85,2017-10-25 17:29:24,臺中市,西屯區,NnQnN,應加強國防實力
No.86,2017-10-25 18:15:33,苗栗縣,苗栗市,儒😜,
No.87,2017-10-25 18:23:41,臺南市,北區,達達,
No.88,2017-10-25 20:29:55,臺南市,安平區,Min,因為兵源不足，預算不足養活全募兵的部隊
No.89,2017-10-25 20:57:59,新北市,板橋區,goodyes,
No.90,2017-10-25 22:00:47,臺北市,文山區,Mjclaire,
No.91,2017-10-25 22:04:27,金門縣,金沙鎮,Thomas liu,
No.92,2017-10-25 22:28:51,臺中市,南區,哈哈哈哈哈,OK是OK 但可能會有軍費和軍紀的問題
No.93,2017-10-25 23:17:16,苗栗縣,竹南鎮,ˊ,
No.94,2017-10-25 23:46:47,臺中市,南區,青天白日的謊言,全民皆兵，結束中國國民黨黃埔系統的黨軍意識型態
No.95,2017-10-26 00:36:30,臺北市,大安區,大狗,對抗中華人民共和國的侵略，每個國民應該都要有軍事訓練
No.96,2017-10-26 07:00:53,新北市,永和區,台北蛋塔,採用募兵制，會讓兩岸軍力越來越不平衡。
No.97,2017-10-26 11:28:58,臺北市,信義區,jouming,
No.98,2017-10-26 12:11:40,新北市,淡水區,Anson,
No.99,2017-10-26 15:31:27,高雄市,旗山區,豪,
No.100,2017-10-26 16:32:57,臺北市,信義區,sean,
No.101,2017-10-26 16:52:22,彰化縣,田尾鄉,朋,
No.102,2017-10-26 18:25:34,新北市,三重區,playgamenow,
No.103,2017-10-26 19:41:58,桃園市,桃園區,austin,
No.104,2017-10-26 20:53:04,新北市,土城區,培根,
No.105,2017-10-26 21:15:16,花蓮縣,新城鄉,阿典,
No.106,2017-10-26 22:41:27,臺南市,東區,David,
No.107,2017-10-26 22:59:20,南投縣,草屯鎮,毛毛,我支持全民皆兵，要讓中共知道要打台灣是要付很大的代價，不要說被打了都沒有反擊的能力，只能任人魚肉，我是喝台灣水吃台灣米長大的，就算台灣在怎麼差，台灣是我們自己的國家，自己的國家當然要保護，至於槍，還是由國家統一保管
No.108,2017-10-26 23:23:03,桃園市,中壢區,截稀,
No.109,2017-10-27 01:43:48,臺北市,大同區,Cue,
No.110,2017-10-27 09:06:25,桃園市,中壢區,Chun Kai,抵抗侵略者，全民皆兵才是正解
No.111,2017-10-27 11:01:21,桃園市,平鎮區,楓橋夜雨,
No.112,2017-10-27 11:23:08,桃園市,中壢區,子謙,
No.113,2017-10-27 11:48:28,宜蘭縣,三星鄉,可以唷,
No.114,2017-10-27 12:45:59,苗栗縣,頭份市,距離,
No.115,2017-10-27 14:27:16,苗栗縣,竹南鎮,Ayu,
No.116,2017-10-27 15:08:45,新北市,中和區,黃,
