"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-07-29 09:35:22,新北市,中和區,廖紘毅,
No.2,2017-07-29 10:41:06,臺中市,大雅區,TING,
No.3,2017-07-29 11:03:53,新北市,汐止區,Goldie,
No.4,2017-07-29 16:04:04,雲林縣,虎尾鎮,Robert HWANG,
No.5,2017-07-29 17:39:43,新北市,三重區,HH,加強宣導與取締，處罰應加重
No.6,2017-07-29 20:09:02,南投縣,埔里鎮,奉先,
No.7,2017-07-29 22:34:46,臺南市,安南區,TONG,
No.8,2017-07-30 00:24:03,臺南市,永康區,AF,
No.9,2017-07-30 02:36:30,雲林縣,麥寮鄉,漢哥,快速道路上面有很多很刺眼的政府的led大型廣告看板--卻都很少好好利用在交通宣導--只是讓人在經過時會覺得看板後方的路是明暗對比太大看不清路面---嚴重妨礙駕駛人的視線--我想***這看板除了讓經過的駕駛人覺得很害怕之外--還可以拿來當做宣導行車禮儀的工具--現在在快速道路上開近燈行駛的人都快變成少數的笨蛋了--每個人都不爽都要開遠燈來報復或者只讓自己看遠而不管有沒有影響到別人的駕駛安全了--希望能多做交通行車的宣導--教教這些人怎麼開車--就像內車道是超車道的宣導--其實也只是經常使用道路的小部份人知道而已--
No.10,2017-07-30 03:17:42,臺北市,南港區,阿傑,"1.尤其路上很不缺路隊長，請不要沒事就佔用快車道，很困擾

2.有些汽車駕駛也對機車騎士行駛在道路上有諸多的歧視，應該加以勸導吧？

3.我覺得高速公路路肩的行駛，應該要在開放行駛的路段頭端設立監視器以及遠端遙控，可以行駛的時候遙控燈號，以表示開放"
No.11,2017-07-30 07:15:11,臺中市,太平區,老莊,很好的提議，請支持!
No.12,2017-07-30 07:29:10,高雄市,鳳山區,John Cena,
